"Player","Tm","year","rec_Age","rec_Pos","rec_G","rec_GS","rec_Tgt","rec_Rec","rec_Yds","rec_TD","rec_1D","rec_YBC","rec_YBC/R","rec_YAC","rec_YAC/R","rec_ADOT","rec_BrkTkl","rec_Rec/Br","rec_Drop","rec_Drop%","rec_Int","rec_Rat","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rush","rz_Y/R","rz_TD_rush","rz_TGT PCT","rz_ATT","rz_YDS_rec","rz_TD_rec","rz_PCT","rz_FL","rz_G","rz_FPTS","rz_FPTS/G","rz_ROST %","rz_TD_total","rz_YDS_total","ADP","PPR_PTS","rank_total_ppr_points","rank_adp","breakout_score"
Mark Andrews,BAL,2021,26,TE,17,9,153,107,1361,9,75,903,8.4,458,4.3,10.3,4,26.8,3,2,9,92.5,14,21,"66.7%",102,7.3,9,"87.5%",0,0,0,"0%",0,17,78.2,4.6,"99.8%",9,102,50.6,301.1,1,5,4
Dalton Schultz,DAL,2021,25,TE,17,15,104,78,808,8,43,460,5.9,348,4.5,7.1,3,26.0,4,4,1,118.6,7,12,"58.3%",60,8.6,4,"66.7%",0,0,0,"0%",0,17,37.0,2.2,"76.8%",4,60,269.0,208.8,3,32,29
Zach Ertz,"2TM",2021,31,TE,17,14,112,74,763,5,40,423,5.7,340,4.6,7.6,2,37.0,6,5,4,85.5,7,17,"41.2%",29,4.1,4,"85.0%",1,4,0,"100.0%",0,17,34.3,2.0,"2.5%",4,33,165.2,180.7,5,17,12
Tyler Conklin,MIN,2021,26,TE,17,15,87,61,593,3,26,266,4.4,327,5.4,5.3,0,,3,3,0,100.4,10,16,"62.5%",65,6.5,3,"94.1%",0,0,0,"0%",0,17,34.5,2.0,"17.0%",3,65,339.5,138.3,16,38,22
Pat Freiermuth,PIT,2021,23,TE,16,9,79,60,497,7,34,250,4.2,247,4.1,5.3,8,7.5,2,2,0,121.1,12,18,"66.7%",81,6.8,7,"69.2%",0,0,0,"0.0%",0,16,62.1,3.9,"69.2%",7,81,210.4,151.7,13,24,11
Rob Gronkowski,TAM,2021,32,TE,12,12,89,55,802,6,34,452,8.2,350,6.4,10.1,9,6.1,5,6,0,113.6,6,12,"50.0%",54,9.0,5,"34.3%",0,0,0,"0%",0,12,41.4,3.5,"1.5%",5,54,125.6,171.2,7,14,7
Hunter Henry,NWE,2021,27,TE,17,10,75,50,603,9,34,459,9.2,144,2.9,9.7,1,50.0,0,0,2,119.6,9,18,"50.0%",77,8.6,9,"62.1%",0,0,0,"0.0%",0,16,70.7,4.4,"20.3%",9,77,153.2,164.3,10,15,5
Dawson Knox,BUF,2021,25,TE,15,14,71,49,587,9,31,310,6.3,277,5.7,7.4,3,16.3,4,6,1,127.8,11,18,"61.1%",64,5.8,6,"94.7%",0,0,0,"0%",0,15,53.4,3.6,"3.8%",6,64,274.0,164.1,11,33,22
TJ Hockenson,"2TM",2022,25,TE,17,14,129,86,914,6,44,511,5.9,403,4.7,7.5,7,12.3,7,5,4,89.7,12,20,"60.0%",74,6.2,5,"66.7%",0,0,0,"0%",0,17,49.4,2.9,"78.6%",5,74,65.8,215.4,2,7,5
Evan Engram,JAX,2022,28,TE,17,14,98,73,766,4,33,301,4.1,465,6.4,6.3,5,14.6,5,5,0,110.3,4,9,"44.4%",30,7.5,2,"75.0%",1,0,0,"100.0%",0,17,19.0,1.1,"95.5%",2,30,193.8,176.9,5,22,17
Tyler Higbee,LAR,2022,29,TE,17,17,108,72,620,3,32,216,3.0,404,5.6,3.0,3,24.0,7,6,3,79.2,8,15,"53.3%",61,7.6,3,"93.8%",0,0,0,"0%",0,16,32.1,2.0,"1.4%",3,61,155.3,152.0,6,15,9
Pat Freiermuth,PIT,2022,24,TE,16,8,98,63,732,2,37,441,7.0,291,4.6,8.3,6,10.5,4,4,4,76.6,6,12,"50.0%",61,10.2,2,"80.0%",0,0,0,"0%",0,15,24.1,1.6,"69.2%",2,61,108.5,148.2,7,11,4
Tyler Conklin,NYJ,2022,27,TE,17,16,87,58,552,3,25,259,4.5,293,5.1,6.8,2,29.0,4,5,2,86.0,3,5,"60.0%",20,6.7,3,"71.4%",1,1,0,"100.0%",0,17,23.1,1.4,"17.0%",3,21,250.0,131.5,15,32,17
Gerald Everett,LAC,2022,28,TE,16,11,87,58,555,4,29,229,3.9,326,5.6,5.6,5,11.6,9,10,2,90.0,9,16,"56.3%",64,7.1,3,"69.6%",0,0,0,"0%",0,15,33.4,2.2,"0.7%",3,64,189.3,139.5,12,21,9
David Njoku,CLE,2022,26,TE,14,14,80,58,628,4,36,290,5.0,338,5.8,6.5,3,19.3,3,4,1,106.7,11,19,"57.9%",77,7.0,3,"65.5%",0,0,0,"0%",0,14,36.7,2.6,"92.1%",3,77,161.8,142.0,10,16,6
Cole Kmet,CHI,2022,23,TE,17,17,69,50,544,7,27,258,5.2,286,5.7,6.7,3,16.7,2,3,4,105.0,7,9,"77.8%",49,7.0,5,"64.3%",0,0,0,"0%",0,17,41.9,2.5,"64.2%",5,49,121.8,147.3,8,12,4
Juwan Johnson,NOR,2022,26,TE,16,12,65,42,508,7,25,326,7.8,182,4.3,9.0,1,42.0,3,5,2,111.6,7,11,"63.6%",73,10.4,5,"64.7%",0,0,0,"0.0%",0,16,44.3,2.8,"5.5%",5,73,999.0,134.8,14,36,22
Evan Engram,JAX,2023,29,TE,17,15,143,114,963,4,47,455,4.0,508,4.0,5.0,5,22.8,7,5,3,95.3,6,9,"66.7%",19,3.2,2,"64.3%",0,0,0,"0%",1,17,17.9,1.1,"95.5%",2,19,78.3,230.3,2,8,6
Sam LaPorta,DET,2023,22,TE,17,14,120,86,889,10,48,531,6.2,358,4.0,7.1,9,9.6,5,4,3,110.0,10,15,"66.7%",91,9.1,7,"93.8%",0,0,0,"0%",0,17,61.1,3.6,"99.9%",7,91,168.3,239.3,1,18,17
Trey McBride,ARI,2023,24,TE,17,12,106,81,825,3,42,386,4.8,439,5.0,6.0,10,8.1,3,3,4,91.9,6,9,"66.7%",42,7.0,2,"42.9%",0,0,0,"0%",0,17,22.2,1.3,"98.1%",2,42,252.0,181.5,7,31,24
Cole Kmet,CHI,2023,24,TE,17,17,90,73,719,6,36,429,5.9,290,4.0,6.2,4,18.3,1,1,2,112.9,10,13,"76.9%",61,6.1,5,"76.5%",1,1,0,"100.0%",0,17,46.2,2.7,"64.2%",5,62,129.5,181.1,8,13,5
Jake Ferguson,DAL,2023,24,TE,17,16,102,71,761,5,40,336,4.7,425,6.0,5.1,6,11.8,5,5,1,103.4,12,24,"50.0%",92,7.7,5,"75.0%",0,0,0,"0.0%",0,17,51.2,3.0,"91.4%",5,92,214.8,177.1,9,22,13
Logan Thomas,WAS,2023,32,TE,16,15,78,55,496,4,21,267,4.9,229,4.0,6.1,1,55.0,2,3,2,93.7,4,9,"44.4%",28,7.0,4,"56.3%",0,0,0,"0%",0,16,30.8,1.9,"0.6%",4,28,279.0,126.8,15,40,25
Jonnu Smith,ATL,2023,28,TE,17,6,70,50,582,3,26,225,4.5,357,7.0,6.5,6,8.3,4,6,2,98.6,5,8,"62.5%",31,6.2,1,"47.1%",1,0,0,"100.0%",0,17,14.1,0.8,"4.7%",1,31,319.0,124.2,16,50,34
